parse_str,freq,ss_type,meaning,ss_type2,examples
CC|VV|NN,193,s,,,"[""并|在医院举办了|婚礼"", ""并|生下了|秦始皇"", ""并|被立为|皇后"", ""既|是|艾青的生日"", ""或者|每一句话后都有|一百句潜台词""]"
CC|NN,171,s,,,"[""还有|抒情"", ""还有|过多次的参演经历"", ""还有|之前的李湘"", ""还有|许晴、廖凡、彭于晏"", ""还有|李嫣（之前李嫣的美拍在微博火过一段时间）""]"
NN|VV|NN|JJ,169,s,,,"[""这种敬业的精神|让|她|非常感动"", ""歌曲|充满了|热情|澎湃"", ""作者|是|你|幸福"", ""学院派|出身|功底|深厚"", ""两部作品|开机|时间|差不多""]"
PP|JJ,137,s,,,"[""同其他灵猫|一样"", ""比旧版|本更立体"", ""和名字|一样"", ""在曹家|十分孝顺"", ""由于家庭|贫困""]"
PP|DEG|NN,116,s,,,"[""戏里|的|梅婷"", ""《玫瑰余香》中|的|佟丽娅、蒋冰"", ""《天使之吻》中|的|韦力、马军勤、沈顷等"", ""《西游降魔》中|的|另类孙悟空"", ""《连环扣》中|的|蒋恺、程皓枫、严晓频""]"
VV|M|NN,93,s,,,"[""以为拣了|个|宝"", ""只不过改了|个|名字"", ""是|位|博士"", ""为父母买了|栋|千万元的豪宅"", ""有|点点|非主流的感觉""]"
PP|NN|JJ,90,s,,,"[""因为价值观和人生|选择|不同"", ""同瑞典|手表|一样"", ""后宫之中|美女|无数"", ""与《一路繁花相送》|收视率|都很高"", ""该剧中|出场的人物|众多""]"
CC|VV,79,s,,,"[""并|被收录于专辑《告别我的恋人们》中"", ""并|收录在《醉英雄》专辑中"", ""并|与意大利接壤"", ""以及|连登"", ""和|祝福""]"
OD|CD|M,76,s,,,"[""第|46|页"", ""第|128|页"", ""第|202|页"", ""第|216|页"", ""第|339|页""]"
CC|NN|VV|NN,69,s,,,"[""虽然|祖上|为羌|部落的小小将领"", ""虽然|两人|都是|明星和演员"", ""如果|第二部上映|绝对又是|一大亮点"", ""虽然|这首歌|也是|首情歌"", ""虽然|里面|也有|很大部分的夸张""]"
NN|VV|CC|VV,69,s,,,"[""1998年5月|竣工|并|投产"", ""陈进兴|作曲|并|编曲"", ""该曲|由吴宗宪作词|和|作曲"", ""吕宏斌|谱曲|和|编曲"", ""周丽淇|作词|并|演唱""]"
VV|CC|VV,60,s,,,"[""对于业内及影迷的高度期待|和|赞誉"", ""对他又爱|又|恨"", ""由贾一平执导|并|主演"", ""由全建军填词|及|演唱"", ""由戚其义执导|并|监制""]"
AD|LB|NN|VV,58,s,,,"[""不过却很快|被|梅婷|否认"", ""又|被|大家|暂时观望了"", ""都|受|万众|瞩目"", ""后|被|周华健|翻唱在专辑《我愿意去等》中"", ""却|被|周刊|惊爆""]"
OD|M,55,s,,,"[""第五|章"", ""第一|节"", ""第三|名"", ""第2|页"", ""第二|位""]"
JJ|DEG|VV,54,s,,,"[""不过可惜|的|是"", ""但是比较特别|的|是"", ""不同|的|是"", ""简直美|的|不要不要的"", ""可惜|的|是""]"
LB|NN|VV,41,s,,,"[""被|观众|熟知"", ""被|喷的|体无完肤"", ""被|乾隆|看中"", ""被|陈思诚|相中"", ""被|故事|选中""]"
NN|JJ|CD|M,40,s,,,"[""《王牌对王牌》|最新|一|期"", ""主峰|高|872|米"", ""我|国有|12|种"", ""南北|宽|800|公里"", ""东西|长|240多|公里""]"
PP|CD|M,36,s,,,"[""王猛死后|数十|年"", ""距离镇|22|公里"", ""距离奥索尔诺|90|公里"", ""1986年春节在央视首播前|11|集"", ""距离县城|6|公里""]"
OD,36,s,,,"[""第三"", ""第2"", ""第四"", ""第一"", ""第二""]"
NN|JJ|了,33,s,,,"[""我|太激动太高兴|了"", ""导演|确实已经老|了"", ""一切人|都大白|了"", ""他们|太正常|了"", ""这首歌|比较老|了""]"
VV|DER|JJ,33,s,,,"[""剪|得|十分巧妙"", ""但灌录|得|非常顺利"", ""从小就生|得|聪慧美丽"", ""一举一动掌握|得|微妙微肖"", ""一起把爱情经营|的|非常完美无瑕""]"
NN|CC|VV,33,s,,,"[""许绍雄|虽然|出身在显赫家族"", ""公主|要是|出事儿了"", ""赵本山|虽然|不同意"", ""他|若|不死"", ""陆立鼎|虽然|籍籍无名""]"
JJ|DEG|VV|NN,31,s,,,"[""最重要|的|就是|层次感"", ""犹孤|之|不负子|瑜也"", ""特别|的|有|磁性"", ""可惜|的|是因为政治|原因"", ""难得|的|充当|主持人的角色""]"
NN|OD,29,s,,,"[""陈都灵|第二"", ""宋威龙|第二"", ""杨幂|第三"", ""林心如|第三"", ""郑元畅|第二""]"
CC|NN|VV,26,s,,,"[""和|《我相信》|相比"", ""还有|很多事情|要做"", ""以及|日常生活|感悟"", ""而|《园冶》|写成于1634年"", ""和|帝君的爱情|也很惊心动魄""]"
DT|CD|M,19,s,,,"[""同|一|年"", ""这|两|年"", ""这|一|次"", ""全|10|集"", ""前|一|年""]"
CD|M|LC,16,s,,,"[""十六|年|前"", ""3|年|以后"", ""十八|年|前"", ""一|天|前"", ""10|年|之后""]"
NN|VV|吗,16,s,,,"[""这|不就来了|吗"", ""李大钊|还数|吗"", ""你|知道|吗"", ""他们|曾经真心相爱过|吗"", ""你|看过|吗""]"
NN|CC|JJ,16,s,,,"[""她|虽然|很平凡"", ""隋朝|虽然|短暂"", ""两个人|虽然|很有钱"", ""岳云鹏|虽然|愚钝"", ""本集她的戏份|虽然|不多""]"
JJ|的,15,s,,,"[""凶恶|的"", ""甜美|的"", ""但是还是挺不错|的"", ""又含酸|的"", ""其实通篇最多|的""]"
VV|啊,14,s,,,"[""大河向东流|啊"", ""是|啊"", ""真是一点儿都没变|啊"", ""从此一发不可收拾|啊"", ""实至名归|啊""]"
VV|OD|M,14,s,,,"[""排名|第八|位"", ""故现排名下降至|第五|位"", ""同时发布|第一|版"", ""一直等到|第10|次"", ""晋级|第三|轮""]"
LB|NN|VV|NN,14,s,,,"[""被|人们|当作|幸福的典范"", ""被|狗仔|拍到了|小糯米"", ""被|我们|当做|是心目中的偶像"", ""被|人们|称之为|圣女"", ""被|何润东|购买了|版权""]"
VV|吧,13,s,,,"[""没想到|吧"", ""共同期待|吧"", ""叱咤风云|吧"", ""厉害|吧"", ""有一点感同身受|吧""]"
DT|M|CD|M,12,s,,,"[""每|集|28|分钟"", ""每|集|50|分钟"", ""每|集|24|分钟"", ""每|集|45|分钟"", ""每|集|25|分钟""]"
嗯,11,s,,,"[""嗯""]"
AD|了,11,s,,,"[""再说|了"", ""真的不重要|了"", ""当然|了"", ""简直|了"", ""那就是全部|了""]"
VV|OD,11,s,,,"[""排名|第二"", ""再次登顶|第一"", ""都位居|第一"", ""列为|第二"", ""在《心手相连》专辑中排列|第五""]"
